feature,importance
cholesterol,14.217817341780231
oldpeak,12.88658543597595
max_heart_rate,12.054486657079332
resting_bp_s,10.087451438638869
age,9.631275059580123
ST_slope_2.0,6.374531647933261
chest_pain_type_4.0,6.258827916013122
ST_slope_1.0,5.6466006552766475
resting_ecg_2.0,3.884824255796346
sex_1.0,3.466388424175309
exercise_angina_1.0,2.8569228844654284
sex_0.0,2.3211430408884164
fasting_blood_sugar_0.0,1.8483280287387702
chest_pain_type_2.0,1.5313784958244574
fasting_blood_sugar_1.0,1.4410561034563727
exercise_angina_0.0,1.3679205599232405
chest_pain_type_3.0,1.3325366055307428
chest_pain_type_1.0,0.9826597351960413
resting_ecg_0.0,0.7021634776950597
ST_slope_3.0,0.6663378082242002
resting_ecg_1.0,0.4007478063482822
ST_slope_0.0,0.04001662145977088
