feature,mean_abs_shap
chest_pain_type_4.0,1.0901115744116048
ST_slope_2.0,0.9824976081888285
oldpeak,0.8601912077693442
ST_slope_1.0,0.8558491137864163
cholesterol,0.7732620850698556
max_heart_rate,0.5968171613736415
exercise_angina_1.0,0.5889404130214758
sex_1.0,0.5165384956746343
age,0.49408230702194705
resting_bp_s,0.42692551279304386
sex_0.0,0.35425363088088707
resting_ecg_2.0,0.32331580890419676
fasting_blood_sugar_0.0,0.2667744790529785
chest_pain_type_2.0,0.23862587870136145
fasting_blood_sugar_1.0,0.2296798501448462
exercise_angina_0.0,0.22690570224960802
chest_pain_type_3.0,0.10955455350277458
resting_ecg_0.0,0.06070538006497605
chest_pain_type_1.0,0.037806076029671475
resting_ecg_1.0,0.03282162001723953
ST_slope_3.0,0.025529609742078043
ST_slope_0.0,0.003966286911380986
