feature,mi_score
feature_012,0.0942759355872489
feature_278,0.09006809047141973
feature_231,0.08829494799780901
feature_249,0.08420168937199546
feature_219,0.08352857967370642
feature_004,0.08302292135303979
feature_104,0.08065268707165818
feature_159,0.07834387864536896
feature_251,0.07780442034068158
feature_092,0.07699083622404612
feature_216,0.07656842583458046
feature_052,0.0761595038464371
feature_258,0.07509529698598527
feature_206,0.0740331151839626
feature_218,0.07223570461684092
feature_196,0.07156943549287198
feature_225,0.0710680915023254
feature_199,0.07022118551135703
feature_113,0.06714843851507868
feature_065,0.0647966404852991
feature_166,0.06356768235284949
feature_008,0.06189286317203457
feature_233,0.06182913169108972
feature_227,0.06149226173878497
feature_010,0.06094828246049411
feature_112,0.060394896703024115
feature_125,0.06015683643472358
feature_266,0.05971380281107197
feature_014,0.05870331951816388
feature_017,0.0585581882249524
feature_162,0.05854717998433645
feature_185,0.058448225214122074
feature_201,0.05829544440998791
feature_259,0.05809766840208708
feature_137,0.05767838432100736
feature_009,0.057372705750770026
feature_116,0.057286965461959216
feature_222,0.05542058758048518
feature_128,0.055183091546529006
feature_140,0.05515373846409566
feature_242,0.0551534028724443
feature_003,0.053128208492166484
feature_101,0.05181634670342805
feature_269,0.051479976063144806
feature_252,0.05136422944096708
feature_064,0.05098748381109819
feature_051,0.050887255254011166
feature_276,0.049177650992367594
feature_239,0.049156176966897114
feature_141,0.049044259587811334
feature_029,0.04890768557983072
feature_168,0.048806049217305025
feature_229,0.04860748543001048
feature_089,0.048091465779734
feature_176,0.0475398001466798
feature_237,0.04696150859336079
feature_015,0.04579647275725507
feature_236,0.045599844814661505
feature_232,0.04548531094130959
feature_238,0.04366030102063223
feature_246,0.04360802337333469
feature_257,0.04355954536280726
feature_244,0.042903743498392544
feature_002,0.042733098571127615
feature_090,0.04240142453522644
feature_100,0.04198495164748617
feature_075,0.04189887990683294
feature_198,0.041246343268305896
feature_153,0.04041758021998132
feature_085,0.04039255540515119
feature_111,0.038186656031092836
feature_224,0.03720204051791165
feature_034,0.03719406545462656
feature_183,0.03594431565269063
feature_088,0.03566279205263401
feature_171,0.03528581777337858
feature_163,0.03523872208205292
feature_007,0.034769953888572624
feature_080,0.034432626761124574
feature_001,0.03346546244505011
feature_228,0.03169596312866663
feature_223,0.03127674570914407
feature_255,0.031120130785559086
feature_121,0.030599495447446223
feature_124,0.030480626134814504
feature_203,0.030345116100146452
feature_195,0.030266670086965597
feature_167,0.029472511029533077
feature_256,0.029336306756177155
feature_261,0.029304435016793695
feature_098,0.02853076413541422
feature_147,0.028222400996253727
feature_221,0.028059915085785203
feature_152,0.027958226029432653
feature_102,0.02755079313146913
feature_197,0.027228542408351375
feature_135,0.027215415496799178
feature_226,0.026843200734292916
feature_234,0.02663801584570913
feature_099,0.026526086064301957
feature_217,0.026308856766790845
feature_177,0.025913728650474255
feature_192,0.025847063759173894
feature_126,0.02559828172681522
feature_055,0.025433477836737994
feature_136,0.025382734903056425
feature_208,0.025259120300706428
feature_248,0.02525865455645393
feature_022,0.024752840872915405
feature_047,0.024530189875928254
feature_268,0.024511452467810058
feature_165,0.024381357961414274
feature_148,0.023917258068306024
feature_020,0.023629746617988445
feature_132,0.0235623753835994
feature_253,0.02351154807611744
feature_265,0.02321254983333998
feature_039,0.023167323527241823
feature_160,0.023007450078851965
feature_169,0.022916055196332774
feature_000,0.022875402376460796
feature_011,0.02271213059268118
feature_262,0.02259261501931764
feature_188,0.02227738821072811
feature_186,0.021220149579001202
feature_157,0.020905287246600457
feature_068,0.020603764312660422
feature_028,0.02047894367866432
feature_273,0.020393976733988683
feature_178,0.020162485806214603
feature_139,0.01982969125949996
feature_267,0.019649039806724833
feature_087,0.019435706593001312
feature_138,0.019277171016714334
feature_122,0.019148409660077137
feature_108,0.018948701551076752
feature_033,0.01885331119182676
feature_053,0.01839807223938572
feature_154,0.018267692479598363
feature_250,0.018139496621296658
feature_220,0.01798719992585851
feature_084,0.01785514388542131
feature_194,0.017693886755137944
feature_059,0.017692971767938825
feature_260,0.01698288221800115
feature_209,0.01691716622308137
feature_210,0.01688996981735502
feature_230,0.01659607936991514
feature_006,0.016565463740669806
feature_117,0.016175083568908732
feature_079,0.015960846601353218
feature_205,0.015369285637590213
feature_032,0.01522745966611816
feature_235,0.015019133382129457
feature_240,0.01487702961436077
feature_158,0.014482048561519356
feature_040,0.014441630451085263
feature_151,0.014174155792018084
feature_076,0.01369394217574249
feature_105,0.012935862313697255
feature_272,0.012745967786200962
feature_211,0.011768087180197284
feature_241,0.011709402692761994
feature_247,0.011498345313562863
feature_213,0.011317965767686289
feature_060,0.010588539097994287
feature_212,0.00918521037165676
feature_103,0.008554002587805476
feature_054,0.008513949743359284
feature_093,0.008509605931018127
feature_190,0.008436118343608356
feature_179,0.00826998040092164
feature_143,0.008053960844389252
feature_095,0.00794888763645707
feature_071,0.007303694254733317
feature_062,0.007301003397669703
feature_187,0.0069421946607204355
feature_161,0.0063026148452558495
feature_130,0.006214422555735899
feature_172,0.006176136437608726
feature_115,0.005979122616505794
feature_019,0.005694441062303435
feature_142,0.00565571403927545
feature_109,0.005378999375180271
feature_026,0.004948457958841246
feature_106,0.004150293223907475
feature_119,0.003952435465226278
feature_175,0.0038219487128454688
feature_023,0.003710958713776691
feature_144,0.0037045636397081694
feature_120,0.003472873298700163
feature_046,0.00308504824273359
feature_107,0.0028920548170487947
feature_077,0.0022888557430009726
feature_245,0.0007887211676451678
feature_149,0.00011531459561808788
feature_016,0.0
feature_005,0.0
feature_013,0.0
feature_270,0.0
feature_083,0.0
feature_081,0.0
feature_082,0.0
feature_074,0.0
feature_073,0.0
feature_072,0.0
feature_078,0.0
feature_096,0.0
feature_264,0.0
feature_263,0.0
feature_271,0.0
feature_066,0.0
feature_067,0.0
feature_069,0.0
feature_070,0.0
feature_131,0.0
feature_063,0.0
feature_058,0.0
feature_061,0.0
feature_050,0.0
feature_129,0.0
feature_056,0.0
feature_057,0.0
feature_127,0.0
feature_110,0.0
feature_118,0.0
feature_123,0.0
feature_114,0.0
feature_094,0.0
feature_091,0.0
feature_097,0.0
feature_086,0.0
feature_146,0.0
feature_150,0.0
feature_133,0.0
feature_155,0.0
feature_134,0.0
feature_145,0.0
feature_184,0.0
feature_182,0.0
feature_181,0.0
feature_173,0.0
feature_174,0.0
feature_180,0.0
feature_156,0.0
feature_164,0.0
feature_170,0.0
feature_207,0.0
feature_204,0.0
feature_200,0.0
feature_202,0.0
feature_191,0.0
feature_189,0.0
feature_193,0.0
feature_042,0.0
feature_215,0.0
feature_035,0.0
feature_036,0.0
feature_214,0.0
feature_037,0.0
feature_043,0.0
feature_044,0.0
feature_045,0.0
feature_048,0.0
feature_049,0.0
feature_038,0.0
feature_041,0.0
feature_024,0.0
feature_021,0.0
feature_018,0.0
feature_025,0.0
feature_031,0.0
feature_030,0.0
feature_027,0.0
feature_243,0.0
feature_274,0.0
feature_254,0.0
feature_275,0.0
feature_277,0.0
